event_date,event_timestamp,event_name,event_bundle_sequence_id,user_pseudo_id,user_first_touch_timestamp,stream_id,platform,event_params_page_title,event_params_ga_session_id,event_params_page_location,event_params_session_engaged,event_params_engagement_time_msec,event_params_ga_session_number,event_params_engaged_session_event
20230914,1694690702264263,scroll,-313522233,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690698585,1.0,143.0,5.0,1.0
20230914,1694690705184925,scroll,-310601571,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690698585,1.0,3002.0,5.0,1.0
20230914,1694690706108197,scroll,-309678299,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,1.0,920.0,,1.0
20230914,1694690706827356,scroll,-308959140,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690698585,,,,1.0
20230914,1694690706829731,scroll,-308956765,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,1.0,1.0,5.0,1.0
20230914,1694690715654397,scroll,-300132099,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694690715658541,scroll,-300127955,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690698585,1.0,,,1.0
20230914,1694690721042336,scroll,-294744160,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690719178,1.0,128.0,5.0,1.0
20230914,1694690723262748,scroll,-292523748,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690719178,1.0,2220.0,5.0,1.0
20230914,1694690899594502,scroll,-116191994,2045365191.1694417,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/?gtm_debug=1694690895974,1.0,11.0,5.0,1.0
20230914,1694690900744099,scroll,-115042397,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690895974,1.0,1260.0,5.0,1.0
20230914,1694691991719752,scroll,975933256,2045365191.1694417,1694419630602476,6092560544,WEB,,1694690136.0,,,,5.0,1.0
20230914,1694691993812666,scroll,978026170,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,,,,1.0
20230914,1694692033821406,scroll,1018034910,2045365191.1694417,1694419630602476,6092560544,WEB,,,,1.0,924.0,5.0,1.0
20230914,1694692933803470,scroll,1918016974,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694692928868,1.0,1.0,5.0,1.0
20230914,1694685607406423,page_view,-1113412777,2045365191.1694417,1694419630602476,6092560544,WEB,,1694685604.0,https://viktorbyskov.dk/,0.0,,,1.0
20230914,1694690800988753,page_view,-214797743,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,1.0,,,1.0
20230914,1694691963898048,page_view,948111552,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,,,5.0,1.0
20230914,1694692675749846,page_view,1659963350,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694692685702252,page_view,1669915756,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694692745682844,page_view,1729896348,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694690136172681,page_view,-879613815,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/?gtm_debug=1694690131638,0.0,,5.0,1.0
20230914,1694690278736039,page_view,-737050457,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,5.0,1.0
20230914,1694690596639389,page_view,-419147107,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690593198,1.0,,5.0,1.0
20230914,1694690702038106,page_view,-313748390,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690698585,1.0,,5.0,1.0
20230914,1694690715172155,page_view,-300614341,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694690720911614,page_view,-294874882,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,1.0,,5.0,1.0
20230914,1694690899594199,page_view,-116192297,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,5.0,1.0
20230914,1694691991717972,page_view,975931476,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,,,,1.0
20230914,1694692930413074,page_view,1914626578,2045365191.1694417,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/?gtm_debug=1694692928868,1.0,,5.0,1.0
